A,B
9,CA7-9-10
12,CA7-12-10
16,CA7-16-10
23,CA7-23-10
30,CA7-30-10
37,CA7-37-10
43,CA7-43-10
55,CA7-55-10
60,CA7-60-10
72,CA7-72-10
85,CA7-85-10
97,CA7-97-10
