Grosseur du conduit,Colonne A,Colonne B
16.00,75.00,58.00
21.00,132.00,102.00
27.00,216.00,167.00
35.00,376.00,291.00
41.00,515.00,399.00
53.00,853.00,661.00
63.00,1513.00,1173.00
78.00,2280.00,1767.00
91.00,2980.00,2310.00
103.00,3801.00,2946.00
