HP,Tension,AC/DC,SF,Conducteur,FLA,Service,Duree du service,Fusible temporise,Sectionneur temporise,Fusible non temporise,Sectionneur non temporise,Relais de surcharge,Grosseur conducteur,Nombre conducteur,Grosseur CDM,diametre des conducteurs,Canalisation PVC,Canalisation EMT,Canalisation flexible,Contacteur schneider,Relais de surcharge schneider,Contacteur Sprecher,Relais de surcharge sprecher,Relais Sprecher Bis
10.0,120 V,AC,1.12,T90 Nylon,100.0,Intermittent,30 Minutes,175.0,200.0,300.0,400.0,115.0,3.0,2.0,6,158.37,35.0,27.0,27.0,LCD1D115,LRD 4367,Aucune correspondance,Aucune correspondance,Aucun résultat trouvé
,,,,,,,,,,,,,,,0,,,,,,,,,
