A,B
9,LCD1D09
12,LCD1D12
18,LCD1D18
25,LCD1D25
32,LCD1D32
38,LCD1D38
40,LCD1D40A
50,LCD1D50A
65,LCD1D65A
80,LCD1D80
95,LCD1D95
115,LCD1D115
150,LCD1D150
